t,x,y,z
6.181904,0.966,-0.036,0.128
6.231952,1.02,-0.16,0.06
6.282,1.074,-0.23,0.068
6.332856,0.936,-0.26,0.1
6.382904,0.92,-0.288,0.118
6.432952,0.898,-0.276,0.066
6.483,0.93,-0.216,0.07
6.532856,0.942,-0.232,0.096
6.582904,0.928,-0.16,0.152
6.632952,0.898,-0.152,0.176
6.683,0.876,-0.216,0.19
6.732856,0.85,-0.33,0.152
6.782904,0.864,-0.376,0.168
6.832952,0.888,-0.354,0.206
6.883,0.966,-0.334,0.22
6.932856,1.0,-0.272,0.158
6.982904,1.078,-0.242,0.054
7.032952,1.03,-0.152,-0.062
7.083,0.866,-0.08,-0.02
7.132856,1.106,-0.144,-0.008
7.182904,0.99,-0.328,-0.136
7.232952,0.894,-0.344,-0.146
7.283,0.856,-0.288,-0.11
7.333856,0.95,-0.282,-0.1
7.383904,0.926,-0.308,-0.128
7.433952,0.914,-0.314,-0.122
7.484,0.92,-0.296,-0.108
7.533856,0.974,-0.292,-0.048
7.583904,0.984,-0.318,-0.05
7.633952,1.008,-0.324,0.056
7.684,0.982,-0.218,0.098
7.733856,0.914,-0.272,0.056
7.783904,0.948,-0.29,-0.008
7.833952,0.928,-0.262,-0.026
7.884,0.99,-0.226,0.04
7.933856,0.992,-0.17,0.096
7.983904,1.008,-0.098,0.11
8.033952,0.966,-0.186,0.134
8.084,0.94,-0.212,0.126
8.133856,0.92,-0.236,0.136
8.183904,0.93,-0.296,0.178
8.233952,0.902,-0.37,0.152
8.284,0.91,-0.29,0.144
8.334856,0.882,-0.208,0.156
8.384904,0.932,-0.248,0.206
8.434952,0.952,-0.328,0.188
8.485,0.974,-0.288,0.2
8.534856,1.03,-0.274,0.16
8.584904,1.008,-0.264,0.124
8.634952,0.962,-0.292,0.076
8.685,0.872,-0.266,0.048
8.734856,0.94,-0.314,0.016
8.784904,0.966,-0.222,-0.002
8.834952,0.934,-0.264,0.008
8.885,0.924,-0.232,0.034
8.934856,0.966,-0.16,0.112
8.984904,0.976,-0.272,0.07
9.034952,0.96,-0.37,0.028
9.085,0.934,-0.368,0.036
9.134856,0.936,-0.32,0.022
9.184904,0.952,-0.354,0.038
9.234952,0.952,-0.32,0.04
9.285,0.934,-0.312,0.05
9.334856,0.944,-0.306,0.008
9.384904,0.94,-0.304,0.044
9.434952,0.946,-0.306,0.03
9.485,0.944,-0.306,0.04
9.535856,0.942,-0.298,0.046
9.585904,0.942,-0.288,0.044
9.635952,0.936,-0.322,0.064
9.686,0.94,-0.288,0.064
9.735856,0.928,-0.306,0.072
9.785904,0.934,-0.286,0.062
9.835952,0.936,-0.292,0.076
9.886,0.944,-0.272,0.084
9.935856,0.95,-0.296,0.088
9.985904,0.928,-0.256,0.088
10.035952,0.926,-0.28,0.08
10.086,0.938,-0.264,0.072
10.135856,0.942,-0.274,0.086
10.185904,0.936,-0.286,0.082
10.235952,0.958,-0.286,0.098
10.286,0.952,-0.282,0.094
10.335856,0.952,-0.264,0.072
10.385904,0.928,-0.27,0.072
10.435952,0.942,-0.272,0.082
10.486,0.944,-0.286,0.104
10.536856,0.958,-0.226,0.062
10.586904,0.958,-0.282,0.086
10.636952,0.952,-0.306,0.088
10.687,0.942,-0.306,0.094
10.736856,0.948,-0.304,0.12
10.786904,0.944,-0.298,0.112
10.836952,0.952,-0.328,0.064
10.887,0.92,-0.328,0.076
10.936856,0.944,-0.218,0.048
10.986904,0.944,-0.356,0.084
11.036952,0.946,-0.286,0.108
11.087,0.95,-0.28,0.114
11.136856,0.962,-0.29,0.12
11.186904,0.94,-0.288,0.088
11.236952,0.92,-0.334,0.024
11.287,0.92,-0.334,0.072
11.336856,0.934,-0.292,0.086
11.386904,0.934,-0.328,0.092
11.436952,0.93,-0.32,0.088
11.487,0.93,-0.378,0.104
11.537856,0.944,-0.282,0.128
11.587904,0.93,-0.302,0.1
11.637952,0.96,-0.308,0.12
11.688,0.944,-0.306,0.12
11.737856,0.92,-0.218,0.102
11.787904,0.914,-0.302,0.088
11.837952,0.918,-0.288,0.08
11.888,0.94,-0.306,0.104
11.937856,0.944,-0.328,0.112
11.987904,0.942,-0.29,0.104
12.037952,0.95,-0.324,0.11
12.088,0.914,-0.352,0.088
12.137856,0.94,-0.216,0.142
12.187904,0.93,-0.32,0.12
12.237952,0.928,-0.354,0.112
12.288,0.944,-0.34,0.12
12.337856,0.934,-0.328,0.104
12.387904,0.926,-0.376,0.098
12.437952,0.944,-0.28,0.146
12.488,0.926,-0.292,0.12
12.538856,0.934,-0.308,0.11
12.588904,0.912,-0.304,0.096
12.638952,0.94,-0.288,0.088
12.689,0.952,-0.314,0.088
12.738856,0.94,-0.298,0.11
12.788904,0.934,-0.318,0.104
12.838952,0.93,-0.32,0.128
12.889,0.928,-0.33,0.102
12.938856,0.94,-0.324,0.102
12.988904,0.94,-0.336,0.114
13.038952,0.926,-0.324,0.104
13.089,0.92,-0.33,0.096
13.138856,0.942,-0.312,0.104
13.188904,0.928,-0.322,0.118
13.238952,0.942,-0.328,0.128
13.289,0.926,-0.334,0.12
13.338856,0.926,-0.35,0.118
13.388904,0.92,-0.336,0.102
13.438952,0.924,-0.32,0.096
13.489,0.926,-0.336,0.118
13.539856,0.928,-0.336,0.11
13.589904,0.93,-0.338,0.12
13.639952,0.93,-0.336,0.12
13.69,0.936,-0.344,0.118
13.739856,0.928,-0.338,0.114
13.789904,0.92,-0.328,0.088
13.839952,0.93,-0.328,0.088
13.89,0.926,-0.334,0.104
13.939856,0.936,-0.336,0.104
13.989904,0.92,-0.324,0.12
14.039952,0.92,-0.336,0.112
14.09,0.94,-0.338,0.12
14.139856,0.924,-0.322,0.108
14.189904,0.936,-0.328,0.118
14.239952,0.936,-0.334,0.104
14.29,0.934,-0.332,0.098
14.339856,0.936,-0.328,0.096
14.389904,0.924,-0.336,0.108
14.439952,0.934,-0.328,0.1
14.49,0.926,-0.328,0.108
14.539856,0.918,-0.338,0.114
14.589904,0.926,-0.34,0.112
14.639952,0.93,-0.328,0.108
14.69,0.934,-0.314,0.116
14.740856,0.934,-0.328,0.12
14.790904,0.926,-0.346,0.126
14.840952,0.93,-0.338,0.108
14.891,0.928,-0.336,0.108
14.940856,0.934,-0.328,0.11
14.990904,0.924,-0.322,0.112
15.040952,0.934,-0.32,0.108
15.091,0.934,-0.314,0.102
15.140856,0.94,-0.314,0.104
15.190904,0.934,-0.322,0.112
15.240952,0.934,-0.334,0.102
15.291,0.95,-0.336,0.094
15.340856,0.942,-0.338,0.106
15.390904,0.924,-0.338,0.102
15.440952,0.934,-0.338,0.088
15.491,0.924,-0.32,0.108
15.540856,0.93,-0.346,0.096
15.590904,0.926,-0.344,0.102
15.640952,0.924,-0.346,0.108
15.691,0.928,-0.36,0.096
15.741856,0.94,-0.352,0.076
15.791904,0.888,-0.38,0.082
15.841952,0.91,-0.386,0.072
15.892,0.888,-0.36,0.064
15.941856,0.894,-0.35,0.046
15.991904,0.898,-0.32,0.038
16.041952,0.898,-0.336,0.008
16.092,0.898,-0.328,-0.002
16.141856,0.912,-0.32,0.002
16.191904,0.956,-0.322,0.03
16.241952,1.154,-0.376,0.024
16.292,0.992,-0.174,0.208
16.341856,0.906,-0.136,0.294
16.391904,0.824,-0.282,0.05
16.441952,0.892,-0.228,-0.056
16.492,1.036,-0.378,-0.12
16.541856,0.8,-0.41,-0.114
16.591904,1.104,-0.594,-0.144
16.641952,0.902,-0.388,-0.22
16.692,0.814,-0.282,-0.132
16.742856,0.798,-0.392,-0.084
16.792904,0.818,-0.468,-0.096
16.842952,0.77,-0.456,-0.144
16.893,0.768,-0.398,-0.144
16.942856,0.856,-0.44,-0.132
16.992904,0.982,-0.44,-0.144
17.042952,1.176,-0.424,-0.138
17.093,1.08,-0.346,0.03
17.142856,0.98,-0.182,0.174
17.192904,1.216,-0.062,0.27
17.242952,1.036,-0.026,0.208
17.293,0.832,-0.154,0.03
17.342856,0.782,-0.178,0.024
17.392904,0.752,-0.31,0.056
17.442952,0.816,-0.372,0.096
17.493,0.744,-0.468,0.15
17.542856,0.83,-0.452,0.216
17.592904,0.91,-0.672,0.092
17.642952,0.908,-0.714,0.126
17.693,1.126,-0.642,0.104
17.743856,1.054,-0.6,-0.048
17.793904,1.022,-0.352,-0.036
17.843952,1.022,-0.456,-0.042
17.894,0.854,-0.526,-0.062
17.943856,0.728,-0.414,-0.04
17.993904,0.684,-0.392,-0.016
18.043952,0.694,-0.378,0.022
18.094,0.664,-0.352,0.066
18.143856,0.716,-0.392,0.096
18.193904,0.83,-0.432,0.12
18.243952,0.92,-0.434,0.156
18.294,1.056,-0.386,0.152
18.343856,1.328,-0.452,0.152
18.393904,1.032,-0.25,0.172
18.443952,1.182,-0.346,0.152
18.494,0.952,-0.058,0.204
18.543856,0.724,-0.478,0.198
18.593904,0.688,-0.372,0.176
18.643952,0.72,-0.41,0.112
18.694,0.754,-0.29,0.142
18.744856,0.79,-0.376,0.46
18.794904,0.8,-0.536,0.552
18.844952,0.904,-0.57,0.42
18.895,0.902,-0.64,0.412
18.944856,1.166,-0.462,0.24
18.994904,1.256,-0.392,0.166
19.044952,1.212,-0.28,0.252
19.095,0.994,-0.308,0.124
19.144856,0.914,-0.28,0.072
19.194904,0.926,-0.37,0.038
19.244952,0.864,-0.37,0.07
19.295,0.784,-0.36,0.09
19.344856,0.726,-0.43,0.102
19.394904,0.702,-0.616,0.15
19.444952,0.726,-0.654,0.296
19.495,0.786,-0.564,0.38
19.544856,0.784,-0.498,0.38
19.594904,0.854,-0.49,0.348
19.644952,0.934,-0.418,0.278
19.695,0.932,-0.354,0.208
19.744856,1.096,-0.388,0.192
19.794904,1.072,-0.424,0.16
19.844952,0.856,-0.336,0.172
19.895,0.728,-0.308,0.152
20.145856,0.926,-0.424,0.184
20.195904,0.902,-0.386,0.274
20.245952,1.046,-0.488,0.224
20.296,1.046,-0.56,0.284
20.345856,0.926,-0.404,0.216
20.395904,1.094,-0.462,0.206
20.445952,1.052,-0.482,0.176
20.496,1.04,-0.488,0.1
20.545856,1.022,-0.392,0.016
20.595904,1.052,-0.244,-0.02
20.645952,0.934,-0.178,-0.08
20.696,0.888,-0.148,-0.12
20.745856,0.902,-0.182,-0.128
20.795904,0.866,-0.296,-0.144
20.845952,0.766,-0.354,-0.132
20.896,0.792,-0.388,-0.094
20.945856,0.816,-0.37,-0.05
20.995904,0.972,-0.404,-0.004
21.045952,1.058,-0.478,0.126
21.096,1.234,-0.56,0.172
21.146856,0.974,-0.416,0.27
21.196904,0.862,-0.414,0.374
21.246952,0.984,-0.318,0.248
21.297,0.908,-0.226,0.146
21.346856,0.878,-0.336,0.152
21.396904,0.782,-0.378,0.176
21.446952,0.728,-0.346,0.176
21.497,0.702,-0.338,0.134
21.546856,0.962,-0.42,0.126
21.596904,1.022,-0.424,0.142
21.646952,0.846,-0.34,-0.04
21.697,1.3,-0.526,-0.084
21.746856,1.158,-0.538,-0.008
21.796904,0.782,-0.314,-0.062
21.846952,0.914,-0.36,-0.084
21.897,0.854,-0.386,-0.066
21.946856,0.866,-0.214,-0.104
21.996904,0.824,-0.244,-0.096
22.046952,0.734,-0.34,-0.004
22.097,0.814,-0.334,0.056
22.147856,0.806,-0.386,0.03
22.197904,0.856,-0.44,0.006
22.247952,0.934,-0.476,-0.03
22.298,0.966,-0.488,0.07
22.347856,1.218,-0.452,0.076
22.397904,1.168,-0.484,0.096
22.447952,1.046,-0.498,0.198
22.498,0.8,-0.286,0.194
22.547856,0.726,-0.298,0.12
22.597904,0.784,-0.318,0.108
22.647952,0.782,-0.36,0.134
22.698,0.83,-0.392,0.188
22.747856,0.846,-0.452,0.226
22.797904,0.792,-0.474,0.268
22.847952,0.784,-0.53,0.232
22.898,0.862,-0.568,0.196
22.947856,0.844,-0.57,0.15
22.997904,0.924,-0.552,0.076
23.047952,1.038,-0.584,-0.008
23.098,1.168,-0.568,-0.092
23.348856,0.856,-0.388,-0.048
23.398904,0.848,-0.354,-0.026
23.448952,0.912,-0.382,-0.024
23.499,0.98,-0.446,0.044
23.548856,0.966,-0.514,0.038
23.598904,0.946,-0.434,0.032
23.648952,0.814,-0.608,0.066
23.699,0.822,-0.42,0.044
23.748856,0.646,-0.498,0.024
23.798904,0.832,-0.544,0.056
23.848952,1.072,-0.458,0.176
23.899,0.974,-0.52,0.158
23.948856,0.854,-0.506,0.212
23.998904,0.992,-0.392,0.24
24.048952,0.784,-0.578,0.214
24.099,0.824,-0.61,0.416
24.149856,0.838,-0.544,0.294
24.199904,0.984,-0.278,0.212
24.249952,0.696,-0.346,0.268
24.3,0.904,-0.378,0.32
24.349856,0.678,-0.546,0.168
24.399904,0.754,-0.578,0.172
24.449952,0.754,-0.802,0.056
24.5,0.87,-0.19,0.14
24.549856,0.88,-0.514,0.156
24.599904,0.782,-0.536,0.248
24.649952,0.966,-0.35,0.288
24.7,0.926,-0.69,0.054
24.749856,0.912,-0.266,0.014
24.799904,0.862,-0.788,0.476
24.849952,0.926,-0.754,0.008
24.9,0.688,-0.724,-0.03
24.949856,0.722,-0.61,-0.02
24.999904,0.818,-0.634,-0.016
25.049952,0.832,-0.608,0.126
25.1,0.786,-0.576,-0.014
25.149856,0.722,-0.738,0.062
25.199904,0.776,-0.468,0.07
25.249952,0.76,-0.49,0.04
25.3,0.81,-0.424,-0.096
25.350856,0.748,-0.576,0.022
25.400904,0.876,-0.532,-0.05
25.450952,0.77,-0.594,0.006
25.501,0.818,-0.594,-0.016
25.550856,0.832,-0.574,-0.008
25.600904,0.83,-0.706,0.034
25.650952,0.888,-0.386,0.014
25.701,0.824,-0.576,-0.024
25.750856,0.896,-0.382,0.054
25.800904,0.908,-0.52,0.112
25.850952,0.942,-0.578,0.056
25.901,0.966,-0.392,0.126
25.950856,0.856,-0.542,-0.014
26.000904,0.844,-0.68,-0.05
26.050952,0.92,-0.682,-0.058
26.101,0.818,-0.69,0.164
26.150856,0.728,-0.754,0.32
26.200904,0.55,-0.868,0.376
26.250952,0.448,-0.91,0.358
26.301,0.476,-0.77,0.254
26.351856,0.544,-0.602,0.108
26.401904,0.588,-0.596,-0.05
26.451952,0.638,-0.56,-0.202
26.502,0.646,-0.398,-0.242
26.551856,0.732,-0.464,-0.25
26.601904,0.908,-0.544,-0.208
26.651952,0.812,-0.72,-0.296
26.702,0.828,-0.638,-0.314
26.751856,0.83,-0.74,-0.142
26.801904,0.796,-0.456,-0.254
26.851952,0.824,-0.368,-0.168
26.902,0.888,-0.468,-0.128
26.951856,0.894,-0.404,-0.104
27.001904,0.936,-0.344,-0.046
27.051952,0.902,-0.404,-0.066
27.102,0.862,-0.378,-0.106
27.151856,0.83,-0.464,-0.16
27.201904,0.774,-0.484,-0.138
27.251952,0.8,-0.43,-0.072
27.302,0.88,-0.44,0.056
27.352856,0.882,-0.432,0.134
27.402904,0.942,-0.474,0.156
27.452952,0.904,-0.432,-0.04
27.503,0.846,-0.43,-0.026
27.552856,0.872,-0.36,-0.018
27.602904,1.008,-0.352,-0.002
27.652952,1.006,-0.274,0.028
27.703,1.016,-0.142,0.014
27.752856,0.99,-0.112,0.034
27.802904,0.882,-0.116,0.038
27.852952,0.92,-0.078,0.024
27.903,1.054,-0.026,0.07
27.952856,1.022,-0.08,0.098
28.002904,0.95,-0.066,-0.036
28.052952,0.934,-0.264,-0.154
28.103,0.902,-0.168,-0.068
28.152856,0.92,-0.202,0.06
28.202904,0.878,-0.328,0.094
28.252952,0.868,-0.362,0.008
28.303,0.88,-0.424,-0.062
28.353856,0.974,-0.5,-0.012
28.403904,1.008,-0.452,0.044
28.453952,1.182,-0.354,0.088
28.504,1.342,-0.288,0.03
28.553856,1.254,-0.05,-0.008
28.603904,1.16,0.102,0.076
28.653952,1.118,0.05,0.064
28.704,0.952,-0.01,-0.048
28.753856,0.782,-0.234,-0.014
28.803904,0.75,-0.272,0.002
28.853952,0.788,-0.288,0.096
28.904,0.774,-0.2,0.176
28.953856,0.69,-0.634,0.12
29.003904,0.832,-0.576,0.156
29.053952,0.894,-0.434,0.146
29.104,0.792,-0.48,0.168
29.153856,0.896,-0.562,0.158
29.203904,1.336,-0.386,0.206
29.253952,1.12,-0.222,0.088
29.304,1.244,-0.272,-0.176
29.354856,1.248,-0.08,-0.282
29.404904,1.068,-0.04,-0.02
29.454952,0.902,-0.032,-0.068
29.505,0.992,-0.144,-0.084
29.554856,1.008,-0.178,-0.058
29.604904,1.086,-0.27,-0.068
29.654952,1.02,-0.252,-0.148
29.705,1.118,-0.238,-0.224
29.754856,0.952,-0.34,-0.276
29.804904,0.846,-0.388,-0.228
29.854952,0.796,-0.378,-0.114
29.905,0.85,-0.466,-0.12
29.954856,0.916,-0.468,-0.128
30.004904,0.856,-0.498,-0.024
30.054952,0.83,-0.552,0.07
30.105,0.874,-0.576,0.112
30.154856,0.934,-0.516,0.206
30.204904,0.968,-0.474,0.24
30.254952,0.96,-0.424,0.216
30.305,0.962,-0.432,0.22
30.354856,0.984,-0.39,0.344
30.404904,1.216,0.056,0.754
30.454952,0.966,-0.128,0.354
30.505,1.112,-0.376,0.198
30.555856,1.096,-0.122,0.14
30.605904,1.072,-0.144,-0.04
30.655952,1.112,-0.208,-0.032
30.706,0.974,-0.142,0.11
30.755856,0.956,-0.288,0.068
30.805904,0.798,-0.208,0.006
30.855952,0.83,-0.42,-0.002
30.906,0.908,-0.432,0.012
30.955856,0.846,-0.468,-0.016
31.005904,0.796,-0.488,0.078
31.055952,0.744,-0.538,0.096
31.106,0.72,-0.548,0.152
31.155856,0.83,-0.596,0.174
31.205904,0.93,-0.512,0.198
31.255952,1.016,-0.472,0.216
31.306,1.112,-0.484,0.224
31.355856,1.008,-0.374,0.278
31.405904,0.846,-0.296,0.262
31.455952,0.888,-0.254,0.192
31.506,0.902,-0.254,0.152
31.556856,0.822,-0.256,0.152
31.606904,0.77,-0.278,0.21
31.656952,0.828,-0.276,0.204
31.707,0.91,-0.328,0.224
31.756856,0.824,-0.328,0.272
31.806904,0.848,-0.362,0.318
31.856952,0.926,-0.424,0.304
31.907,0.908,-0.424,0.284
31.956856,1.104,-0.474,0.236
32.006904,1.246,-0.522,0.216
32.056952,1.166,-0.484,0.184
32.107,0.976,-0.356,0.072
32.156856,1.014,-0.318,0.034
32.206904,1.078,-0.362,-0.002
32.256952,0.904,-0.308,-0.01
32.307,0.838,-0.264,0.024
32.356856,0.81,-0.29,0.028
32.406904,0.802,-0.354,0.048
32.456952,0.774,-0.362,0.038
32.507,0.824,-0.408,0.096
32.557856,0.834,-0.408,0.098
32.607904,0.926,-0.506,0.188
32.657952,1.104,-0.57,0.204
32.708,1.08,-0.654,0.352
32.757856,0.666,-0.402,0.312
32.807904,0.816,-0.644,0.29
32.857952,0.808,-0.634,0.3
32.908,0.79,-0.656,0.422
32.957856,0.726,-0.958,0.544
33.007904,0.638,-1.008,0.684
33.057952,0.536,-1.074,0.802
33.108,0.626,-1.108,0.892
33.157856,0.604,-0.954,0.732
33.207904,0.582,-0.77,0.646
33.257952,0.462,-0.586,0.464
33.308,0.56,-0.488,0.332
33.357856,0.518,-0.4,0.27
33.407904,0.364,-0.288,0.306
33.457952,0.39,-0.434,0.358
33.508,0.376,-0.452,0.52
33.758856,0.012,-0.736,0.816
33.808904,0.056,-0.674,0.888
33.858952,0.028,-0.626,0.816
33.909,0.156,-0.576,1.03
33.958856,0.318,-0.362,1.064
34.008904,0.08,-0.514,0.72
34.058952,0.35,-0.246,0.896
34.109,-0.08,-0.538,0.732
34.158856,-0.084,-0.592,0.822
34.208904,0.192,-0.568,0.56
34.258952,0.112,-1.72,0.894
34.309,0.32,-0.136,1.448
34.358856,0.168,-0.158,1.408
34.408904,0.368,0.216,1.006
34.458952,0.574,0.216,0.942
34.509,0.43,0.058,0.96
34.559856,0.454,0.072,0.998
34.609904,0.446,0.048,0.99
34.659952,0.462,0.056,0.974
34.71,0.486,0.088,0.944
34.759856,0.46,0.16,0.884
34.809904,0.448,0.102,0.844
34.859952,0.476,0.002,0.86
34.91,0.54,0.082,0.822
34.959856,0.51,0.064,0.844
35.009904,0.6,0.024,0.884
35.059952,0.718,-0.068,0.968
35.11,0.678,-0.138,1.166
35.159856,0.336,-0.33,1.03
35.209904,0.216,-0.306,1.032
35.259952,0.216,-0.346,0.908
35.31,0.286,-0.392,0.82
35.359856,0.318,-0.49,0.93
35.409904,0.376,-0.4,0.992
35.459952,0.242,-0.408,0.86
35.51,0.226,-0.474,0.904
35.559856,0.198,-0.506,0.936
35.609904,0.172,-0.528,0.916
35.659952,0.192,-0.53,0.962
35.71,0.332,-0.466,0.908
35.760856,0.232,-0.45,0.86
35.810904,0.116,-0.526,0.878
35.860952,0.142,-0.57,0.978
35.911,-0.004,-0.482,0.946
35.960856,0.014,-0.484,0.978
36.010904,0.152,-0.434,1.064
36.060952,0.278,-0.38,0.806
36.111,0.582,-0.58,1.182
36.160856,0.604,-0.29,0.846
36.210904,0.604,-0.37,0.718
36.260952,0.608,-0.36,0.748
36.311,0.62,-0.376,0.816
36.360856,0.646,-0.378,0.806
36.410904,0.658,-0.352,0.77
36.460952,0.61,-0.356,0.67
36.511,0.568,-0.354,0.67
36.560856,0.63,-0.314,0.758
36.610904,0.626,-0.27,0.622
36.660952,0.632,-0.196,0.448
36.711,0.588,-0.818,0.304
36.761856,0.476,-0.434,0.854
36.811904,0.528,-0.202,0.8
36.861952,0.736,-0.464,0.542
36.912,0.862,-0.576,0.48
36.961856,0.908,-0.538,0.384
37.011904,0.902,-0.468,0.312
37.061952,0.856,-0.67,0.238
37.112,0.722,-0.576,0.192
37.161856,0.824,-0.67,0.268
37.211904,0.78,-0.552,0.22
37.261952,0.736,-0.64,0.184
37.312,0.778,-0.632,0.15
37.361856,0.776,-0.626,0.118
37.411904,0.806,-0.526,0.13
37.461952,0.896,-0.448,0.166
37.512,0.818,-0.488,0.124
37.561856,0.85,-0.586,0.078
37.611904,0.84,-0.538,0.098
37.661952,0.908,-0.45,0.126
37.712,0.908,-0.434,0.158
37.762856,0.92,-0.602,0.208
37.812904,0.864,-0.468,0.158
37.862952,0.926,-0.4,0.108
37.913,0.944,-0.464,0.12
37.962856,0.966,-0.354,0.206
38.012904,0.934,-0.442,0.264
38.062952,0.838,-0.506,0.224
38.113,0.894,-0.418,0.24
38.162856,0.878,-0.338,0.326
38.212904,0.856,-0.45,0.208
38.262952,0.856,-0.392,0.252
38.313,0.824,-0.468,0.254
38.362856,0.876,-0.37,0.294
38.412904,0.866,-0.426,0.31
38.462952,0.846,-0.5,0.208
38.513,0.85,-0.506,0.252
38.562856,0.87,-0.426,0.3
38.612904,0.91,-0.35,0.224
38.662952,0.87,-0.392,0.246
38.713,0.862,-0.416,0.328
38.763856,0.852,-0.448,0.304
38.813904,0.782,-0.448,0.224
38.863952,0.92,-0.43,0.198
38.914,1.17,0.402,0.418
38.963856,0.84,-0.232,0.32
39.013904,0.898,-0.558,0.368
39.063952,0.864,-0.354,0.162
39.114,0.83,-0.37,0.272
39.163856,0.962,-0.366,0.268
39.213904,0.824,-0.538,0.24
39.263952,0.926,-0.378,0.238
39.314,0.774,-0.57,0.334
39.363856,0.832,-0.532,0.302
39.413904,0.944,-0.352,0.224
39.463952,0.902,-0.552,-0.032
39.514,0.686,-0.658,0.254
39.563856,0.824,-0.462,0.318
39.613904,0.798,-0.642,0.28
